"id","firts_name","last_name","second_last_name","phone","email","postions","Id_jefe","Id_laboratorio"
1,Cally,Mckay,"","640773155",vitae.orci.phasellus@google.org,jefe,,8
2,Hanna,Reilly,Ellis,"623322847",duis.risus@yahoo.ca,tecnico,12,1
3,Carter,Collins,Kirby,"659935772",ut.semper@protonmail.org,tecnico,1,5
4,Karleigh,Osborne,Mckenzie,"668458849",mauris.eu.turpis@yahoo.ca,becario,7,8
5,Kevyn,Daugherty,Young,"662555077",aliquam.erat.volutpat@protonmail.com,titular,,2
6,Jelani,Nguyen,Mccormick,"651016274",rhoncus.nullam@icloud.com,jefe,1,3
7,Jin,Valdez,Cannon,"611653707",neque@icloud.com,titular,12,1
8,Caesar,Hutchinson,"",,natoque.penatibus.et@yahoo.ca,titular,1,3
9,Fritz,Kim,"","670318893",scelerisque@yahoo.edu,titular,7,9
10,Kirk,Jacobs,"","635596376",cras.dictum@icloud.ca,titular,12,9
11,Calr,Smith,,"65879424",,becario,,10
12,Kyla,Cherry,Salas,"693742182",amet.ultricies@yahoo.ca,jefe,,10
13,Bert,Hancock,Yang,"626136266",feugiat@yahoo.net,titular,12,6
14,Branden,Houston,Gould,"666396741",vel.turpis.aliquam@aol.net,becario,1,7
15,Rinah,O'Neill,Blevins,"634632815",et@protonmail.couk,tecnico,7,1
16,Wyoming,Bentley,Weber,"631063635",duis.gravida.praesent@yahoo.edu,tecnico,12,1
