idEmpleado,dni,idDepartamento,fechaIngreso,fNac,nombre,apellido1,apellido2,salario,comision
1,46923983G,1,2011-10-14,2008-08-25,Earl,MacGinney,Bedburrow,1671.33,48.24
2,88301564X,2,2011-07-07,2000-05-03,Wildon,Highnam,Coucha,840.07,76.37
3,29391603H,3,2013-01-01,2014-05-18,Ed,Cheater,Vasyukhichev,1755.14,32.24
4,33260256W,4,2014-03-05,2004-08-06,Khalil,Menichelli,Collier,1099.31,74.65
5,33670631B,5,2019-04-14,2008-04-11,Cecilius,Gollin,Huntall,1409.27,2.97
6,23167287P,6,2012-07-28,2017-05-03,Rori,Colleer,Empringham,1829.94,69.81
7,57064116N,7,2017-05-18,1996-11-04,Delaney,De Goey,Bumpus,1047.75,0.64
8,10561953P,8,2017-10-24,2004-01-28,Heidie,Pigrome,Allabush,1221.97,57.07
9,38397241Y,9,2011-05-27,2002-02-28,Dorolisa,Kowalik,Shefton,1136.66,20.03
10,85950453M,10,2016-09-27,2016-09-17,Glad,Cardall,Matussow,1942.52,68.45
11,18879421D,11,2018-05-16,2012-10-07,Aleece,Rawlinson,Kellitt,929.43,15.53
12,90990492P,12,2012-01-31,1998-08-21,Arney,Filmer,Jain,1303.2,19.96
13,62380045C,13,2020-08-25,2003-01-10,Patricio,Lummasana,Garth,1783.99,77.63
14,21700660E,14,2010-03-08,1999-03-23,Kyle,Smowton,Stryde,819.94,16.34
15,09789172G,15,2021-07-12,2005-07-07,Virgie,Vautre,Litster,1992.05,6.92
16,65585042J,16,2018-04-30,2013-09-28,Wynn,Stanyon,Gaymer,1967.69,14.16
17,13569663P,17,2020-07-20,2006-11-16,Renee,Sillwood,Chmarny,1887.01,0.19
18,27898646Z,18,2017-01-27,2015-04-19,Ortensia,Gurley,Eckh,1919.18,23.1
19,54655771C,19,2009-09-01,2016-10-05,Jeffry,MacConchie,Gofton,1531.39,10.6
20,70545303W,20,2017-03-17,2000-10-08,Mozelle,Shadfourth,Zuppa,1236.18,41.36
21,80969627J,21,2020-09-15,1998-02-18,Melisent,Ulyatt,Bhatia,1743.01,31.92
22,74951813B,22,2011-02-03,2008-05-25,Chandal,Waddilove,Luckham,1148.61,21.05
23,24472479L,23,2010-05-16,2008-03-21,Dewitt,De Clairmont,Pitcaithly,1105.58,2.35
24,36346655P,24,2013-06-07,2013-05-14,Libbie,Allcorn,McLemon,1240.75,80.48
25,68463278Y,25,2014-03-15,2009-09-28,Abeu,Grimme,Patroni,1275.04,42.06
26,14515030Y,26,2020-08-25,2009-02-21,Aubine,Robbel,Cleugh,825.77,7.1
27,55806732S,27,2017-12-15,1995-03-16,Retha,Guerry,Chazier,1137.84,74.13
28,34567684H,28,2013-12-19,2017-02-27,Roley,Meir,Fleay,1874.96,30.25
29,06260315Z,29,2009-12-20,1996-10-01,Roch,Earnshaw,Habershon,1848.04,60.41
30,68140744R,30,2013-10-03,2002-08-10,Bill,Bownass,Cranney,1091.24,68.41
